TimeToRunTests,NoOfWarnings,CodeCoverage,CyclomaticComplexity,SecurityIssuesCount,isCodeDuplication,getFinalDecision
0.946,13,71.0,1,0,0,No Go
1.11,13,71.0,1,27,0,No Go
1.047,13,71.0,1,27,0,No Go
1.34,13,71.0,1,27,0,No Go
0.962,13,71.0,1,27,0,No Go
1.015,13,71.0,1,27,0,No Go
1.247,13,71.0,1,27,0,No Go
1.155,13,71.0,1,27,0,No Go
0.878,13,71.0,1,27,0,No Go
0.821,13,71.0,1,27,0,No Go
0.849,13,71.0,1,27,0,No Go
1.627,13,71.0,1,27,0,No Go
1.059,13,71.0,1,27,0,No Go
1.556,13,71.0,1,27,0,No Go
0.902,13,71.0,1,27,0,No Go
1.754,13,71.0,1,27,0,No Go
0.876,13,71.0,1,27,0,No Go
